Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName
1,18,172,67,4,29,799
1,18,172,67,0,49,21
1,18,172,67,0,49,21
1,18,172,67,2,33,512
1,18,172,67,2,33,512
1,18,172,67,2,33,793
1,18,172,67,3,46,209
4,6,71,1,2,33,443
1,17,53,1,1,4,41
1,5,174,1,3,46,185
1,0,0,67,3,46,645
1,18,172,67,2,33,793
1,18,172,67,3,46,807
1,18,172,67,0,49,240
4,11,148,23,6,20,307
4,22,191,47,6,20,696
4,6,91,23,1,43,389
4,22,122,1,3,46,645
4,7,164,47,2,33,793
1,5,241,2,1,43,389
4,15,29,1,6,39,75
4,11,189,47,0,48,738
4,22,191,1,6,20,169
1,18,172,67,2,33,793
1,18,172,38,3,46,878
1,5,174,1,3,46,611
1,18,172,67,0,48,738
1,5,174,1,0,48,455
1,18,172,67,0,48,738
4,22,193,46,0,48,455
4,11,148,1,6,39,330
1,5,241,58,0,49,240
1,18,172,38,4,29,799
1,5,174,22,3,46,361
1,18,172,67,0,49,240
1,18,172,67,0,49,240
4,22,231,1,0,49,240
1,20,27,2,0,49,240
1,20,27,1,0,49,240
1,8,72,43,3,46,610
1,18,172,67,0,49,240
1,18,172,67,0,48,733
1,18,172,67,3,46,843
4,22,38,1,4,29,161
1,18,172,23,1,43,929
4,22,191,1,4,29,823
1,18,172,67,0,49,240
1,18,172,67,4,29,570
4,22,169,1,5,3,267
1,18,172,67,6,20,231
1,18,172,38,1,43,929
1,18,172,38,3,36,24
1,5,241,58,0,48,798
1,18,172,38,1,43,929
1,18,172,67,3,46,209
1,5,174,1,6,39,687
4,6,91,1,1,43,389
4,22,191,1,6,20,696
4,22,191,1,6,20,696
1,18,172,67,0,49,240
4,22,191,1,1,4,41
1,17,161,1,2,33,443
1,5,174,1,6,20,47
1,20,27,1,2,33,348
4,22,58,1,3,46,843
1,17,53,63,3,36,536
1,18,172,54,3,36,476
1,18,172,67,6,20,306
1,17,161,1,2,33,512
1,18,172,67,0,49,240
1,18,172,67,5,19,453
1,18,172,67,2,33,512
4,22,191,1,6,20,696
1,12,81,47,3,46,341
1,16,147,68,3,36,852
4,22,75,23,6,39,330
1,17,108,27,3,36,284
1,18,172,67,3,36,284
4,11,170,47,2,33,839
1,5,241,63,4,29,799
1,17,108,1,3,36,223
1,18,172,67,3,46,639
1,5,241,47,2,33,793
1,18,172,2,1,4,446
1,18,172,67,6,39,296
4,22,58,47,3,46,361
4,22,75,1,6,20,450
1,5,174,1,6,39,296
1,18,172,67,3,36,138
1,20,185,1,4,29,606
1,18,172,67,2,33,793
4,22,231,1,6,39,569
1,18,172,43,1,43,802
1,18,172,67,2,33,793
1,18,172,67,2,33,443
1,4,24,23,1,43,547
4,6,76,1,1,43,935
1,18,172,67,3,36,481
1,18,172,67,2,33,443
1,18,172,67,2,33,793
4,11,176,38,6,39,396
4,6,99,1,2,33,443
1,0,0,1,0,48,798
1,17,161,1,2,33,443
1,18,172,67,2,33,443
1,18,172,67,3,36,475
1,18,172,67,2,33,793
1,5,174,47,3,46,599
1,5,174,67,6,20,47
4,0,0,1,0,48,733
1,5,241,47,2,33,512
4,11,63,27,5,19,110
1,0,0,1,0,49,21
1,17,108,1,3,36,912
1,18,172,43,1,43,802
4,22,191,1,6,20,696
1,16,215,1,3,36,651
1,18,172,38,4,29,799
1,18,172,67,3,36,651
1,18,172,67,6,39,330
1,18,172,67,0,49,240
1,18,172,67,0,49,21
1,18,172,67,0,49,21
1,5,174,68,3,46,807
1,18,172,67,3,36,208
1,18,172,38,3,36,475
1,5,241,27,5,19,110
4,6,99,47,2,33,512
1,12,226,58,1,4,155
1,18,172,67,3,36,471
1,18,172,67,0,48,83
1,5,241,68,4,29,823
1,5,174,1,3,36,651
4,11,176,1,3,36,70
1,5,241,38,4,29,799
1,20,185,43,3,36,651
1,18,0,67,3,46,594
1,18,172,1,1,4,155
1,18,172,67,0,48,455
4,22,58,1,3,36,29
4,22,58,1,3,36,29
1,18,172,67,0,49,21
4,22,30,27,3,36,541
1,18,172,67,0,48,738
1,18,172,38,3,36,233
1,18,172,67,2,33,793
1,18,172,38,3,36,475
1,5,20,54,1,4,41
1,16,147,54,1,4,41
1,18,172,67,5,19,516
1,16,147,1,1,4,41
1,4,24,38,1,43,389
1,5,174,1,3,46,290
1,5,174,1,3,46,290
4,22,69,1,3,46,645
1,18,172,67,2,33,443
1,17,161,1,2,33,443
1,18,172,67,2,33,443
4,6,76,1,1,4,43
4,22,178,47,0,48,798
1,18,172,67,3,46,209
1,18,172,38,3,46,645
4,22,191,47,6,20,307
1,18,172,67,1,4,43
1,5,174,27,3,46,185
1,17,53,1,1,43,802
4,22,122,23,3,46,645
4,11,110,1,3,36,29
4,22,218,1,3,46,645
1,18,172,67,3,36,138
4,22,191,1,4,29,823
1,18,172,67,2,33,512
1,16,147,63,3,36,555
4,11,148,47,3,36,524
1,18,172,38,4,29,161
1,5,20,54,1,43,389
1,5,241,63,5,19,110
4,11,148,9,1,43,802
1,18,172,38,0,48,83
4,22,198,1,3,36,67
1,5,241,68,4,29,570
4,22,198,1,3,36,67
1,18,172,27,1,43,929
1,17,211,58,3,36,651
1,18,172,67,4,29,418
1,20,139,1,6,39,166
1,5,241,68,1,4,446
1,5,174,1,6,39,166
1,18,172,67,3,36,70
1,21,223,47,5,19,62
1,18,172,67,0,49,240
1,20,27,1,2,33,512
1,5,241,1,1,43,802
1,20,27,1,2,33,793
1,18,172,67,3,46,196
1,5,241,1,0,49,21
1,18,172,67,6,20,307
1,18,172,67,6,20,307
1,18,172,67,0,49,884
4,22,191,1,6,20,696
1,18,0,67,2,33,512
1,5,174,67,0,48,798
1,20,27,47,2,33,512
1,5,174,67,0,49,884
4,22,231,47,0,48,83
1,18,172,1,1,4,0
1,5,174,67,6,20,307
4,22,191,47,6,20,732
1,18,172,67,0,48,798
1,20,27,1,2,33,348
1,18,172,67,0,48,738
1,18,172,67,0,49,240
1,18,172,38,1,4,898
4,22,38,1,6,20,728
1,18,172,67,2,33,839
1,18,172,67,2,33,839
1,18,172,67,0,48,733
1,18,172,67,2,33,839
1,0,0,67,3,36,284
1,5,174,1,6,39,687
1,18,172,67,2,33,793
1,5,241,47,2,33,793
1,18,172,67,2,33,839
1,5,174,47,3,36,484
1,18,172,67,6,39,330
1,5,233,47,4,29,799
1,5,241,47,2,33,839
4,22,35,47,2,33,512
1,18,172,38,1,43,929
4,22,48,1,6,20,728
1,18,172,67,4,29,433
4,11,179,1,5,19,110
1,18,172,67,0,48,798
4,22,188,1,6,20,66
1,5,174,27,3,46,878
4,22,198,1,3,46,135
1,18,172,67,6,39,296
1,18,172,43,1,4,41
1,18,172,67,4,29,570
1,18,172,67,4,29,823
1,18,172,67,1,43,929
1,18,172,67,2,33,512
1,18,172,67,5,3,865
1,18,172,67,6,20,306
1,5,241,23,2,33,348
1,5,241,23,2,33,348
4,11,148,1,3,36,55
4,22,58,1,3,36,281
1,5,241,1,1,43,929
1,5,174,68,3,46,640
4,22,169,55,3,46,432
1,18,172,67,6,20,47
